GEOID,PLACE,total_population,white,black,native_american,asian,aapi,other_race,multi_race,hispanic,total_homes,total_occupied_homes,vacant_homes,renter_occupied_homes,owner_occupied_homes,civilian_employed,civilian_unemployed,civilian_labor_force,gini_index,median_home_value,median_income
1600000US3825700,Fargo city,125990,99439,11033,2012,5173,93,1511,6729,4670,61541,56116,5425,32038,24078,70885,3098,73983,0.4857,238600,59089
1600000US4202000,Allentown city,125845,48176,16617,962,2614,63,37915,19498,68232,48533,45660,2873,26270,19390,52941,5920,58861,0.4399,173400,46745
1600000US4856348,Pearland city,125828,53512,24991,668,18848,84,9207,18518,31125,45403,43225,2178,10810,32415,60621,1959,62580,0.4041,307800,103227
1600000US0616000,Concord city,125410,59800,4789,1425,18802,693,21268,18633,38953,47597,45800,1797,18710,27090,61809,4449,66258,0.4419,719000,96961
1600000US4801000,Abilene city,125182,81300,13012,1114,2785,170,11590,15211,33634,51508,46134,5374,20842,25292,56366,1292,57658,0.4394,157900,51931
1600000US0803455,Arvada city,124402,100435,1342,1246,3210,82,4628,13459,18636,51261,49545,1716,13476,36069,67317,3175,70492,0.4096,537900,92647
1600000US0606000,Berkeley city,124321,66267,9812,653,24896,265,7848,14580,17018,52331,47606,4725,28603,19003,59365,6148,65513,0.5135,1270000,101048
1600000US2603000,Ann Arbor city,123851,83702,8393,265,19425,74,2196,9796,6793,53213,49948,3265,28119,21829,63892,2889,66781,0.5321,398600,68864
1600000US2935000,Independence city,123011,89323,10678,936,1468,826,6795,12985,15042,55654,51139,4515,20246,30893,54309,3423,57732,0.4472,154700,52919
1600000US2754880,Rochester city,121395,88892,10794,530,9543,70,3557,8009,7984,53210,49904,3306,17759,32145,65139,2851,67990,0.491,273800,75902
1600000US2240735,Lafayette city,121374,70577,37259,491,3158,38,2770,7081,7531,58634,52224,6410,23955,28269,61359,2772,64131,0.4835,214800,57953
1600000US0937000,Hartford city,121054,23462,46231,982,4283,83,30825,15188,53315,53259,47112,6147,36534,10578,50890,6912,57802,0.4801,174100,42468
1600000US4815976,College Station city,120511,76475,9788,593,12317,132,8903,12303,23357,48782,42433,6349,29011,13422,59614,3143,62757,0.5523,291300,49215
1600000US0614218,Clovis city,120124,66916,3312,1647,15643,339,14127,18140,36594,43954,42130,1824,15184,26946,55363,4225,59588,0.4264,418000,84837
1600000US0623182,Fairfield city,119881,38910,17866,1568,22447,1301,19549,18240,36723,40539,39026,1513,15549,23477,50252,4126,54378,0.4325,552300,90346
1600000US1254000,Palm Bay city,119760,72889,21386,464,2346,108,7072,15495,21436,49078,45799,3279,11454,34345,57017,2992,60009,0.5442,228400,54746
1600000US4861796,Richardson city,119469,64783,12829,663,20502,68,7510,13114,20528,49267,45812,3455,22146,23666,61212,4613,65825,0.4651,358000,85580
1600000US4863500,Round Rock city,119468,64290,12145,1014,9814,206,11512,20487,35744,45844,43536,2308,19622,23914,68916,3865,72781,0.4178,355600,79649
1600000US2511000,Cambridge city,118403,67887,12520,290,22743,54,4036,10873,10738,53907,49564,4343,34649,14915,70983,2751,73734,0.5164,1006100,104746
1600000US1652120,Meridian city,117635,98911,1156,629,3006,283,3271,10379,11228,43627,41230,2397,11016,30214,66308,1783,68091,0.4832,448100,88088
1600000US1276600,West Palm Beach city,117415,50857,37160,899,2963,51,10139,15346,28899,58706,50893,7813,27645,23248,57489,3401,60890,0.5001,311000,59400
1600000US1822000,Evansville city,117298,88374,16006,362,1455,596,2315,8190,5008,58361,51955,6406,24474,27481,55671,3250,58921,0.3893,111800,46662
1600000US1212875,Clearwater city,117292,79736,12301,823,3416,162,8272,12582,20441,62330,52142,10188,22824,29318,55842,2975,58817,0.4937,298000,56626
1600000US3006550,Billings city,117116,97840,1148,5788,1087,205,2256,8792,7937,52643,49441,3202,19241,30200,57026,2975,60001,0.4394,290000,65818
1600000US4982950,West Jordan city,116961,83147,1524,1194,3853,2502,11650,13091,26048,36247,35044,1203,8976,26068,58546,2917,61463,0.3615,410600,86252
1600000US0660620,Richmond city,116448,23452,22254,2395,16740,652,35720,15235,51912,40375,38677,1698,18865,19812,56564,5928,62492,0.4636,641500,85754
1600000US0883835,Westminster city,116317,81790,1987,1521,6480,105,8970,15464,27238,48905,46794,2111,17881,28913,66700,3227,69927,0.4154,457500,86688
1600000US3345140,Manchester city,115644,88744,6362,403,4831,43,6070,9191,13657,51438,49098,2340,27052,22046,68787,2710,71497,0.3702,321300,73639
